Semester,Branch,Subject Type,Subject Name
5,Mechanical,Theory,Mechanical Measurements and Control
5,Mechanical,Theory,Heat Transfer
5,Mechanical,Theory,Dynamics of Machinery
5,Mechanical,Theory,Department Level Optional Course I
5,Mechanical,Practical,Internal Combustion Engines
5,Mechanical,Practical,Mechanical Measurements and Control
5,Mechanical,Practical,Heat Transfer
5,Mechanical,Practical,Dynamics of Machinery
5,Mechanical,Practical,Manufacturing Sciences Lab
5,Mechanical,Practical,Business Communication and Ethics
6,Mechanical,Theory,Metrology and Quality engineering
6,Mechanical,Theory,Machine Design I
6,Mechanical,Theory,Finite Element analysis
6,Mechanical,Theory,Refrigeration and Air Conditioning
6,Mechanical,Theory,Department Level Optional Course II
6,Mechanical,Practical,Metrology and Quality Engineering
6,Mechanical,Practical,Machine Design I
6,Mechanical,Practical,Finite Element Analysis
6,Mechanical,Practical,Refrigeration and Air Conditioning
6,Mechanical,Practical,Mechatronics Lab
7,Mechanical,Theory,Machine Design II
7,Mechanical,Theory,CAD/CAM/CAE
7,Mechanical,Theory,Production Planning and Control
7,Mechanical,Theory,Department Level Optional Course III
7,Mechanical,Theory,Institute Level Optional Course I
7,Mechanical,Practical,Machine Design II
7,Mechanical,Practical,CAD/CAM/CAE
7,Mechanical,Practical,Production Planning and Control
8,Mechanical,Theory,Design of Mechanical Systems
8,Mechanical,Theory,Industrial Engineering and Management
8,Mechanical,Theory,Power Engineering
8,Mechanical,Theory,Department Level Optional Course IV
8,Mechanical,Theory,Institute Level Optional Course II
8,Mechanical,Practical,Design of Mechanical Systems
8,Mechanical,Practical,Power Engineering
